lizard_ID,species,start_date,initial_mass,start_crickets,initial_svl,initial_tl,trial1_mass,trial1_date,crickets_left1,crickets_eaten1,trial2_mass,trial2_date,crickets_left2,crickets_eaten2,trial3_mass,trial3_date,crickets_left3,crickets_eaten3,final_mass,final_svl,final_tl,clutch,egg_date,hatch_date,sex,yolk_trt,temp_trt,hatch_mass,hatch_svl,hatch_tl,egg_mass,egg_length_mm,egg_width_mm,post_extract_mass,extracted_yolk,dev_time
LG220_20,guichenoti,21/12/20,0.203,30,20.719,31.562,0.178,23/12/20,7,23,0.21,25/12/20,12,18,0.242,27/12/20,13,17,0.292,22.712,35.294,CL064_20,7/11/20,9/12/20,NA,A,28,0.147,19.624,26.892,0.165,9.08,5.68,0.148,0.017,32
LG222_20,guichenoti,4/1/21,0.178,30,19.864,25.963,0.178,6/1/21,12,18,0.148,8/1/21,18,12,0.269,10/1/21,15,15,0.266,22.404,28.239,CL065_20,7/11/20,27/12/20,NA,A,23,0.134,20.412,25.066,0.235,9.39,6.84,0.208,0.027,50
LG223_20,guichenoti,21/12/20,0.177,30,19.839,26.573,0.205,23/12/20,18,12,0.193,25/12/20,22,8,0.179,27/12/20,16,14,0.185,20.534,26.843,CL065_20,7/11/20,8/12/20,f,A,28,0.111,19.03,NA,0.137,8.76,5.16,0.12,0.017,31
LG224_20,guichenoti,23/12/20,0.163,30,20.627,29.323,0.194,25/12/20,13,17,0.18,27/12/20,10,20,0.27,29/12/20,15,15,0.252,21.92,31.052,CL065_20,7/11/20,8/12/20,NA,C,28,0.128,20.017,25.727,0.138,8.53,5.26,0.138,0,31
LG225_20,guichenoti,13/1/21,0.175,30,19.772,26.537,0.183,15/1/21,15,15,0.128,17/1/21,12,18,0.113,19/1/21,7,23,0.258,21.792,28.775,CL065_20,7/11/20,29/12/20,NA,C,23,0.132,18.643,23.916,0.129,8.43,5.15,0.129,0,52
LG230_20,guichenoti,13/1/21,0.177,30,20.397,25.819,0.137,15/1/21,12,18,0.112,17/1/21,13,17,0.12,19/1/21,15,15,0.235,21.423,28.007,CL067_20,7/11/20,30/12/20,NA,C,23,0.138,19.084,24.387,0.154,9.09,5.53,0.154,0,53
LG231_20,guichenoti,13/1/21,0.215,30,20.061,27.298,0.167,15/1/21,13,17,0.163,17/1/21,16,14,0.156,19/1/21,11,19,0.28,20.94,29.874,CL067_20,7/11/20,29/12/20,NA,A,23,0.132,17.929,21.842,0.151,8.52,5.68,0.127,0.024,52
LG233_20,guichenoti,13/1/21,0.246,30,20.861,29.427,0.146,15/1/21,8,22,0.117,17/1/21,6,24,0.153,19/1/21,7,23,0.331,23.305,33.171,CL068_20,7/11/20,30/12/20,NA,C,23,0.175,20.631,26.494,0.219,9.57,6.15,0.219,0,53
LG234_20,guichenoti,13/1/21,0.203,30,21.177,27.385,0.139,15/1/21,11,19,0.116,17/1/21,11,19,0.113,19/1/21,15,15,0.255,22.911,31.669,CL068_20,7/11/20,30/12/20,NA,A,23,0.151,20.658,NA,0.224,9.81,6.45,0.196,0.028,53
LG247_20,guichenoti,13/1/21,0.204,30,20.158,25.731,0.14,15/1/21,8,22,0.14,17/1/21,10,20,0.101,19/1/21,8,22,0.295,22.38,27.164,CL072_20,8/11/20,31/12/20,NA,C,23,0.158,19.594,23.37,0.173,8.92,5.94,0.173,0,53
